Dia	Indigo	Meta_Eficiencia_INDIGO	Meta_Rotura_INDIGO	Meta_Estopa_Azul	Tejeduria	RU105	RT105	EFI%	Meta_Estopa_Azul_Tejeduria	Integrada	Meta_Velocidad_Integrada	Meta_ENC_URD_Integrada	Revision	Dia_Invertido
sábado 01-ago-26	43.145	88	1	1,8	34.520	1,6	2	88	0,3	5.689	40	-1,5	0	31
domingo 02-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	0	30
lunes 03-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	29
martes 04-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	28
miércoles 05-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	27
jueves 06-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	26
viernes 07-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	25
sábado 08-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	24
domingo 09-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	0	23
lunes 10-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	22
martes 11-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	21
miércoles 12-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	20
jueves 13-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	19
viernes 14-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	18
sábado 15-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	17
domingo 16-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	0	16
lunes 17-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	15
martes 18-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	14
miércoles 19-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	13
jueves 20-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	12
viernes 21-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	11
sábado 22-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	10
domingo 23-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	0	9
lunes 24-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	8
martes 25-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	7
miércoles 26-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	6
jueves 27-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	5
viernes 28-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	4
sábado 29-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	3
domingo 30-ago-26	43.145	88	1	1,8	34.516	1,6	2	88	0,3	35.467	40	-1,5	41.154	2
lunes 31-ago-26	43.150	88	1	1,8	34.516	1,6	2	88	0,3	35.768	40	-1,5	41.150	1
