Dia	Indigo	Meta_Eficiencia_INDIGO	Meta_Rotura_INDIGO	Meta_Estopa_Azul	Tejeduria	RU105	RT105	EFI%	Meta_Estopa_Azul_Tejeduria	Integrada	Meta_Velocidad_Integrada	Meta_ENC_URD_Integrada	Revision	Dia_Invertido
miércoles 01-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	0	0	0	0	30
jueves 02-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	0	0	0	0	29
viernes 03-abr-26	0	88	1	1,8	0	1,6	2	88	0,3	0	0	0	0	28
sábado 04-abr-26	44.816	88	1	1,8	35.862	1,6	2	88	0,3	38.506	40	-1,5	0	27
domingo 05-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	0	26
lunes 06-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.267	25
martes 07-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	24
miércoles 08-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	23
jueves 09-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	22
viernes 10-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	21
sábado 11-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	20
domingo 12-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	0	19
lunes 13-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	18
martes 14-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	17
miércoles 15-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	16
jueves 16-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	15
viernes 17-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	14
sábado 18-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	13
domingo 19-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	0	12
lunes 20-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	11
martes 21-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	10
miércoles 22-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	9
jueves 23-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	8
viernes 24-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	7
sábado 25-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	6
domingo 26-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	0	5
lunes 27-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	4
martes 28-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	3
miércoles 29-abr-26	44.828	88	1	1,8	35.862	1,6	2	88	0,3	38.519	40	-1,5	47.273	2
jueves 30-abr-26	44.828	88	1	1,8	35.864	1,6	2	88	0,3	38.519	40	-1,5	47.273	1
