Dia	Indigo	Meta_Eficiencia_INDIGO	Meta_Rotura_INDIGO	Meta_Estopa_Azul	Tejeduria	RU105	RT105	EFI%	Meta_Estopa_Azul	Integrada	Meta_Velocidad_Integrada	Meta_ENC_URD_Integrada	Revision	Dia_Invertido
domingo 01-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	24.085	40	-1,5	0	28
lunes 02-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	17.000	27
martes 03-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	26
miercoles 04-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	25
jueves 05-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	24
viernes 06-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	23
sabado 07-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	22
domingo 08-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5		21
lunes 09-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	20
martes 10-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	19
miercoles 11-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	18
jueves 12-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	17
viernes 13-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	16
sabado 14-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	15
domingo 15-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5		14
lunes 16-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	13
martes 17-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	12
miercoles 18-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	11
jueves 19-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	10
viernes 20-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	9
sabado 21-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	8
domingo 22-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5		7
lunes 23-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	6
martes 24-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	5
miercoles 25-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	4
jueves 26-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	3
viernes 27-feb-26	44.643	88	1	1,8	35.714	1,6	2	88	0,3	36.145	40	-1,5	42.739	2
sabado 28-feb-26	44.639	88	1	1,8	35.722	1,6	2	88	0,3	36.145	40	-1,5	42.742	1
