Dia	Indigo	Meta_Eficiencia_INDIGO	Meta_Rotura_INDIGO	Meta_Estopa_Azul	Tejeduria	RU105	RT105	EFI%	Meta_Estopa_Azul_Tejeduria	Integrada	Meta_Velocidad_Integrada	Meta_ENC_URD_Integrada	Revision	Dia_Invertido
lunes 01-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	0	40	-1,5	0	30
martes 02-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	0	29
miércoles 03-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	28
jueves 04-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	27
viernes 05-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	26
sábado 06-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	25
domingo 07-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5		24
lunes 08-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	23
martes 09-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	22
miércoles 10-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	21
jueves 11-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	20
viernes 12-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	19
sábado 13-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	18
domingo 14-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5		17
lunes 15-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	16
martes 16-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	15
miércoles 17-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	14
jueves 18-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	13
viernes 19-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	12
sábado 20-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	11
domingo 21-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5		10
lunes 22-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	9
martes 23-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	8
miércoles 24-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	7
jueves 25-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	6
viernes 26-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	5
sábado 27-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	4
domingo 28-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	3
lunes 29-jun-26	45.833	88	1	1,8	36.667	1,6	2	88	0,3	37.931	40	-1,5	44.000	2
martes 30-jun-26	45.843	88	1	1,8	36.657	1,6	2	88	0,3	37.932	40	-1,5	44.000	1
