Dia	Indigo	Meta_Eficiencia_INDIGO	Meta_Rotura_INDIGO	Meta_Estopa_Azul	Tejeduria	RU105	RT105	EFI%	Meta_Estopa_Azul_Tejeduria	Integrada	Meta_Velocidad_Integrada	Meta_ENC_URD_Integrada	Revision	Dia_Invertido
martes 01-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	12.989	40	-1,5	0	30
miércoles 02-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	12.984	29
jueves 03-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	28
viernes 04-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	27
sábado 05-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	26
domingo 06-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	0	25
lunes 07-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	24
martes 08-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	23
miércoles 09-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	22
jueves 10-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	21
viernes 11-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	20
sábado 12-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	19
domingo 13-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	0	18
lunes 14-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	17
martes 15-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	16
miércoles 16-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	15
jueves 17-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	14
viernes 18-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	13
sábado 19-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	12
domingo 20-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	0	11
lunes 21-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	10
martes 22-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	9
miércoles 23-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	8
jueves 24-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	7
viernes 25-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	6
sábado 26-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	5
domingo 27-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	0	4
lunes 28-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	3
martes 29-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	2
miércoles 30-sept-26	43.750	88	1	1,8	35.000	1,6	2	88	0,3	35.759	40	-1,5	43.209	1
