ARTIGO CODIGO,ARTIGO,COR,NCM,BASE,UnP,VENDA,PRODUÇÃO,NOME REDUZIDO,NOME DE MERCADO,LINHA,URDUME,SARJA,COD. RETALHO,SAP,TRAMA REDUZIDO,SGS,SGS UN 1,DESCRIÇÃO,BATIDAS/FIO,NE RESULTANTE,SAP,TRAMA REDUZIDO,SGS,SGS UN 2,DESCRIÇÃO,BATIDAS/FIO,NE RESULTANTE,CONS.TR/m,SGS,QT.FIOS,NE RESULTANTE,SGS,QT.FIOS,NE RESULTANTE,CONS.URD/m,BATIDA,LARG.PENTE,LARG.CRU,PESO/m CRU,Oz/jd2,Peso/m2,LARGURA MIN,LARGURA ,LARGURA MAX,SKEW MIN,SKEW MAX,URD.MIN,URD.MAX,TRAMA MIN,TRAMA MAX,VAR STR.MIN TRAMA,VAR STR.MAX TRAMA,VAR STR.MIN URD,VAR STR.MAX URD,PONTOS,ENC.TEC.URDUME,ENC. TEC.TRAMA,ENC.ACAB URD,ENC.ACAB TRAMA,LAV.AMAC.URD,LAV.AMAC.TRM,LAV STONE ,LAV STONE ,STRET LAV STONE,COMPOSIÇÃO,TRAMA
AF2107  R5561M,AF2107  R5,561M,5209421,S,STC,N,N,,PHOENIX,TECIDO SANTANA TEXT.,12/1F74840561,2X1 DIREITA,,0141LO01CT,14/1 OE,1747433,523100,HILO 14/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"14,0","14,0",,,,,,,,"111,55",1898229,"4.840,00","12,0",,,,"237,97","14,0","189,06",,,"6,6","223,00","159,00","161,00","164,00","2,00","6,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","7,50",,"13,00","4,95","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 14/1 OE 100% CO STC
AF210701Q5561,AF210701Q5,561,5209421,,STC,N,N,,PHOENIX,TECIDO SANTANA TEXT.,U12/1F4840561,2X1 ESQUERDA,,0141LO01CT,14/1 OE,1747433,523100,HILO 14/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"14,0","14,0",,,,,,,,"111,51",1898229,"4.812,00","12,0",1965673,"28,00","19,5","237,44","14,0","189,00",,,"7,5","211,00","-0,40","1,60","4,60","2,00","6,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","7,50","3,47","13,00","4,95","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 14/1 OE 100% CO STC
AF2110  B5516,AF2110  B5,516,5209421,S,STC,N,N,,BOLT,TECIDO SANTANA TEXT.,U12/1F4236516,2X1 DIREITA,RETALG,0081LO01CT,8/1 OE,1747430,523097,HILO 8/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"16,5","8,0",,,,,,,,"215,39",1898229,"4.208,00","12,0",1965673,"28,00","19,5","207,74","16,5","177,00","173,00","0,544","10,0","326,00","156,00","158,00","161,00","1,00","5,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","6,40",,"14,00","16,60","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO 8/1 LISO 100% ALGODON
AF2110  W5532,AF2110  W5,532,5209429,S,STC,N,N,,DIRTY 2110,TECIDO SANTANA TEXT.,U10+8F4242532,2X1 DIREITA,,0101LO01CT,10/1 OE,1747429,523096,HILO 10/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"16,0","10,0",,,,,,,,"167,09",1747429,"2.121,00","10,1",1781723,"2.121,00","8,0","280,32","16,0","177,00",,,"10,0","341,00","160,00","162,00","165,00","3,00","7,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","7,00","2,50","15,00","5,61","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,
AF211001W5561,AF211001W5,561,5209429,S,STC,N,N,,OCEAN 2110,TECIDO SANTANA TEXT.,U10+8F4242561,2X1 DIREITA,,0101LO01CT,10/1 OE,1747429,523096,HILO 10/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"16,0","10,0",,,,,,,,"167,09",1747429,"2.121,00","10,1",1781723,"2.121,00","8,0","280,32","16,0","177,00",,,"10,0","341,00","160,00","162,00","165,00","3,00","7,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","7,00","5,41","15,00","5,61","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,
AF2112  W5561,AF2112  W5,561,5209429,S,STC,N,N,,OCEAN-2112,TECIDO SANTANA TEXT.,U10+8F4242561,2X1 DIREITA,,0061LO01CT,NE 6/1 ALG OE,1747432,523099,HILO 6/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"15,0","6,0",,,,,,,,"261,08",1747429,"2.121,00","10,1",1781723,"2.121,00","8,0","280,32","15,0","177,00",,,"12,0","404,00","160,00","162,00","165,00","3,00","7,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","7,00","2,50","15,00","5,61","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,
AF211201W5532,AF211201W5,532,5209429,N,STC,N,N,,DIRTY-2112,TECIDO SANTANA TEXT.,U10+8F4242532,2X1 DIREITA,,0061LO01CT,NE 6/1 ALG OE,1747432,523099,HILO 6/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"15,0","6,0",,,,,,,,"261,08",1747429,"2.121,00","10,1",1781723,"2.121,00","8,0","280,32","15,0","177,00",,,"12,0","404,00","160,00","162,00","165,00","3,00","7,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","7,00","6,50","15,00","5,61","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,
AF211202W5532,AF211202W5,532,5209429,S,STC,N,N,,DIRTY-2112,TECIDO SANTANA TEXT.,U10+8F4242532,2X1 DIREITA,,0061LO01CT,NE 6/1 ALG OE,1747432,523099,HILO 6/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"14,5","6,0",,,,,,,,"252,37",1747429,"2.121,00","10,1",1781723,"2.121,00","8,0","280,32","14,5","177,00",,,"12,0","404,00","160,00","162,00","165,00","3,00","7,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","7,00","6,50","15,00","5,61","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,
AF3107  Q5561R,AF3107  Q5,561R,5209421,S,STC,N,N,,ASTOR,TECIDO SANTANA TEXT.,U12/1F4760561,3X1 DIREITA,RETALG,0161LO01CT,16/1 OE,1747425,523092,HILO 16/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"20,0","15,0",,,,,,,,"148,73",1898229,"4.732,00","12,0",1967658,"28,00","12,7","233,96","20,0","189,06","181,50","0,391","7,4","251,00","156,00","158,00","161,00","3,00","7,00","-3,00","1,00","-2,00","2,00","0,00","0,00","0,00","0,00","35,00","6,40",,"14,00","16,60","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 16/1OE 100% CO STC
AF3107  Q5561D,AF3107  Q5,561D,5209421,,STC,N,N,,ASTOR,TECIDO SANTANA TEXT.,U12/1F4760561,3X1 DIREITA,RETALG,0161LO01CT,16/1 OE,1747425,523092,HILO 16/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"20,0","15,0",,,,,,,,"148,73",1898229,"4.732,00","12,0",1967658,"28,00","12,7","233,96","20,0","189,06","181,50","0,390","7,4","251,00","156,00","158,00","161,00","3,00","7,00","-3,00","1,00","-2,00","2,00","0,00","0,00","0,00","0,00","35,00","8,60","4,00","11,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 16/1OE 100% CO STC
AF3108  Q5561,AF3108  Q5,561,5209421,N,STC,N,N,,ORIGINAL 8 OZ,TECIDO SANTANA TEXT.,U12/1F4840561,3X1 DIREITA,,0121FO01CT,12/1FLAME OE,1898229,714212,HILO 12/1 FANTA OE CARDA TECEL 100% CO SANTANA CHACO,"20,0","12,0",,,,,,,,"186,64",1898229,"4.812,00","12,0",1965673,"28,00","19,5","237,44","20,0","189,80",,"0,395","8,0","284,00","166,00","168,00","171,00","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","8,60","3,61","14,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 12/1 FLAME OE 100% CO STC
AF3108  R5511M,AF3108  R5,511M,5209421,N,STC,N,N,,CHELSEA,TECIDO SANTANA TEXT.,12/1F74840511,3X1 DIREITA,,0121LO01CT,12/1 OE,1747431,523098,HILO 12/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"16,0","12,0",,,,,,,,"148,73",1898229,"4.840,00","12,0",,,,"237,97","16,0","189,06",,"0,395","8,0","265,00","158,00","160,00","163,00","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","8,59",,"14,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 12/1  OE 100% CO STC
AF310801Q5561,AF310801Q5,561,5209421,N,STC,N,N,,ORIGINAL 8 OZ,TECIDO SANTANA TEXT.,U12/1F4840561,3X1 DIREITA,,0121FO01CT,12/1FLAME OE,1898229,714212,HILO 12/1 FANTA OE CARDA TECEL 100% CO SANTANA CHACO,"18,0","12,0",,,,,,,,"167,97",1898229,"4.812,00","12,0",1965673,"28,00","19,5","237,44","18,0","189,80",,"0,395","8,0","284,00","166,00","168,00","171,00","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","8,60","3,51","14,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 12/1 FLAME OE 100% CO STC
AF310801R5561R,AF310801R5,561R,5209421,S,STC,N,N,,DRESDEN,TECIDO SANTANA TEXT.,12/1F74840561,3X1 DIREITA,,0121LO01CT,12/1 OE,1747431,523098,HILO 12/1 LISO OE CARDA TECEL 100% CO SANTANA CHACO,"17,0","12,0",,,,,,,,"158,02",1898229,"4.840,00","12,0",,,,"237,97","17,0","189,06",,"0,395","8,0","278,00","156,00","158,00","161,00","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","8,61",,"14,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 12/1  OE 100% CO STC
AF310802Q5561,AF310802Q5,561,5209421,S,STC,N,N,,ORIGINAL 8 OZ,TECIDO SANTANA TEXT.,U12/1F4840561,3X1 DIREITA,,0121FO01CT,12/1FLAME OE,1898229,714212,HILO 12/1 FANTA OE CARDA TECEL 100% CO SANTANA CHACO,"18,0","12,0",,,,,,,,"167,97",1898229,"4.812,00","12,0",1965673,"28,00","19,5","237,44","18,0","189,80",,"0,395","8,0","284,00","166,00","168,00","171,00","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","8,60",,"14,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 12/1 FLAME OE 100% CO STC
AF310802R5561A,AF310802R5,561A,5209421,S,STC,N,N,,TILBURG,TECIDO SANTANA TEXT.,12/1F74840561,3X1 DIREITA,,0121FO01CT,12/1FLAME OE,1898229,714212,HILO 12/1 FANTA OE CARDA TECEL 100% CO SANTANA CHACO,"16,0","12,0",,,,,,,,"148,73",1898229,"4.840,00","12,0",,,,"237,97","16,0","189,06",,"0,395","8,0","271,00","158,00","160,00","163,00","5,00","9,00","-3,00","1,00","-3,00","1,00","0,00","0,00","0,00","0,00","35,00","6,57","3,51","14,00","4,56","0,00","0,00","0,00","0,00","0,00",100%  ALGODON,HILO NE 12/1 FLAME OE 100% CO STC
