FILIAL,PROCESSO,PARTIDA,ARTIGO,COR,DESC_NM_MERC,MT_DISPONIV,DT_PROD,NUM_FIOS,FLANGE,LADO,MAQUINA,STATUS,URDUME,MT_PREVISTA,MT_A_BATER,MT_PROX24H,BATIDAS,RPM,EFIC_TA,EFIC_TB,EFIC_TC,EFIC_DIA,ART_PROGR,NM_MERC_PROG,COR_PG,URDUME_PRO,GRUPO_TEAR,REPROCESSO,LARGURA,TRAMA_REDUZIDA_1,TRAMA_REDUZIDA_2,DATA FINAL TECEL,HORA_FINAL_TECEL,TURNO_FINAL_TECE,HORA_FINAL_TECEL_V2,OBS ACABAMENTO,COD MOT REP,MOTIVO REPROCESSO,OBS REPROCESSO
5,URDIDEIRA,0544901,U10/1F-340000,000,URDUME,"55.000,00",05/02/2026,340,50011,U,15001,,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,URDIDEIRA,0544902,U10/1F-340000,000,URDUME,"55.000,00",05/02/2026,340,50004,U,15001,,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,URDIDEIRA,0544903,U10/1F-340000,000,URDUME,"55.000,00",05/02/2026,340,50033,U,15001,,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,URDIDEIRA,0544904,U10/1F-340000,000,URDUME,"55.000,00",05/02/2026,340,50010,U,15001,,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,URDIDEIRA,0544905,U10/1F-340000,000,URDUME,"55.000,00",05/02/2026,340,50026,U,15001,,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,URDIDEIRA,0544906,U10/1F-340000,000,URDUME,"55.000,00",05/02/2026,340,50041,U,15001,,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,URDIDEIRA,0544907,U10/1F-340000,000,URDUME,"55.000,00",06/02/2026,340,50025,U,15001,,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,URDIDEIRA,0544908,U10/1-340 000,000,URDUME,"55.000,00",06/02/2026,340,50013,U,15001,,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,URDIDEIRA,0544909,U10/1-340 000,000,URDUME,"55.000,00",06/02/2026,340,50015,U,15001,,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
5,URDIDEIRA,0544910,U10/1-340 000,000,URDUME,"55.000,00",06/02/2026,340,50024,U,15001,,,"0,00","0,00","0,00",,0,"0,00","0,00","0,00","0,00", , , , ,0,,0,,,, , , ,,,,
