FILIAL,PARTIDA,PECA,ETIQUETA,ARTIGO,NM_MERC,COD_DEF,DESC_DEFEITO,PONTOS,QUALIDADE,DATA_PROD
05,0522301,015,70181368,YI310805V5560,ZUMA DARK,000,--,0,2,15/01/2026
05,0534207,015,70120067,YIC20943C5561,INFLUX,000,--,0,2,15/01/2026
05,0536713,016,70195679,YIC20951C5561,INFLUX,000,--,0,2,20/01/2026
05,0537205,016,70197105,YIC20947P5560,NUUK II,000,--,0,2,15/01/2026
05,0538201,020,70197102,AI310906V5560,CAPRI,000,--,0,2,15/01/2026
05,0538602,010,70197106,YIC20948P5560,TALLIN II,000,--,0,2,15/01/2026
05,0538901,022,70197101,AI311201G5561,MONTE CARLO,000,--,0,2,15/01/2026
05,0539801,021,70197104,AI311103G5920,DOHA,000,--,0,2,15/01/2026
05,0539910,016,70181366,YIC20948C5920,TROPEA,000,--,0,2,15/01/2026
05,0540022,020,70197100,AF311006E5561,ICON IV,382,TRAMA CURTA,4,2,15/01/2026
05,0540508,021,70194985,AF3111  N5498,THOR,333,PARADA DE TEAR,4,1,22/01/2026
05,0540508,021,70194985,AF3111  N5498,THOR,333,PARADA DE TEAR,4,1,22/01/2026
05,0540508,021,70194985,AF3111  N5498,THOR,205,FIO IRREGULAR,1,1,22/01/2026
05,0540508,021,70194985,AF3111  N5498,THOR,340,TRAMA MOLE,2,1,22/01/2026
05,0540508,022,70194983,AF3111  N5498,THOR,000,--,0,1,23/01/2026
05,0540509,011,70194984,AF3110  N5498,TYSON,333,PARADA DE TEAR,4,1,22/01/2026
05,0540509,011,70194984,AF3110  N5498,TYSON,333,PARADA DE TEAR,4,1,22/01/2026
05,0540509,012,70194982,AF3110  N5498,TYSON,000,--,0,1,23/01/2026
05,0540919,016,70167759,YIC20948P5560,TALLIN II,000,--,0,2,15/01/2026
05,0541001,019,70197103,AI311102G5561,WARDEN II,000,--,0,2,15/01/2026
05,0541417,008,70185107,YIC20949C5920,MACAO,000,--,0,2,15/01/2026
05,0541920,018,70181367,YIC20952C5561,STOMP II,000,--,0,2,15/01/2026
05,0542116,001,70195720,YI310852G5561,LAREDO A,382,TRAMA CURTA,4,1,20/01/2026
05,0542116,001,70195720,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,001,70195720,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,001,70195720,YI310852G5561,LAREDO A,341,TRAMA REPUXADA,2,1,20/01/2026
05,0542116,001,70195720,YI310852G5561,LAREDO A,354,TRAMA FLOJA LARGA,4,1,20/01/2026
05,0542116,001,70195720,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,001,70195720,YI310852G5561,LAREDO A,311,FIO ESTICADO,4,1,20/01/2026
05,0542116,001,70195720,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,002,70195717,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,002,70195717,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,002,70195717,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,002,70195717,YI310852G5561,LAREDO A,205,FIO IRREGULAR,2,1,20/01/2026
05,0542116,002,70195717,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,002,70195717,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,002,70195717,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,002,70195717,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,003,70195718,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
FILIAL,PARTIDA,PECA,ETIQUETA,ARTIGO,NM_MERC,COD_DEF,DESC_DEFEITO,PONTOS,QUALIDADE,DATA_PROD
05,0542116,003,70195718,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,003,70195718,YI310852G5561,LAREDO A,382,TRAMA CURTA,4,1,20/01/2026
05,0542116,003,70195718,YI310852G5561,LAREDO A,382,TRAMA CURTA,4,1,20/01/2026
05,0542116,003,70195718,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,003,70195718,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,003,70195718,YI310852G5561,LAREDO A,382,TRAMA CURTA,4,1,20/01/2026
05,0542116,004,70195721,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,004,70195721,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,004,70195721,YI310852G5561,LAREDO A,341,TRAMA REPUXADA,2,1,20/01/2026
05,0542116,004,70195721,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,004,70195721,YI310852G5561,LAREDO A,205,FIO IRREGULAR,2,1,20/01/2026
05,0542116,004,70195721,YI310852G5561,LAREDO A,341,TRAMA REPUXADA,2,1,20/01/2026
05,0542116,005,70195719,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,005,70195719,YI310852G5561,LAREDO A,205,FIO IRREGULAR,2,1,20/01/2026
05,0542116,005,70195719,YI310852G5561,LAREDO A,341,TRAMA REPUXADA,2,1,20/01/2026
05,0542116,005,70195719,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,005,70195719,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,005,70195719,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,005,70195719,YI310852G5561,LAREDO A,313,FIO QUEBRADO,4,1,20/01/2026
05,0542116,005,70195719,YI310852G5561,LAREDO A,313,FIO QUEBRADO,4,1,20/01/2026
05,0542116,005,70195719,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,006,70195722,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,006,70195722,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,006,70195722,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,006,70195722,YI310852G5561,LAREDO A,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542116,006,70195722,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,006,70195722,YI310852G5561,LAREDO A,382,TRAMA CURTA,4,1,20/01/2026
05,0542116,006,70195722,YI310852G5561,LAREDO A,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542116,007,70195724,YI310852G5561,LAREDO A,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542116,007,70195724,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,007,70195724,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,007,70195724,YI310852G5561,LAREDO A,382,TRAMA CURTA,4,1,20/01/2026
05,0542116,007,70195724,YI310852G5561,LAREDO A,313,FIO QUEBRADO,4,1,20/01/2026
05,0542116,007,70195724,YI310852G5561,LAREDO A,354,TRAMA FLOJA LARGA,4,1,20/01/2026
05,0542116,007,70195724,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,007,70195724,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,007,70195724,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,008,70195725,YI310852G5561,LAREDO A,382,TRAMA CURTA,4,1,20/01/2026
05,0542116,008,70195725,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
FILIAL,PARTIDA,PECA,ETIQUETA,ARTIGO,NM_MERC,COD_DEF,DESC_DEFEITO,PONTOS,QUALIDADE,DATA_PROD
05,0542116,008,70195725,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,008,70195725,YI310852G5561,LAREDO A,340,TRAMA MOLE,4,1,20/01/2026
05,0542116,008,70195725,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,008,70195725,YI310852G5561,LAREDO A,382,TRAMA CURTA,4,1,20/01/2026
05,0542116,008,70195725,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,009,70195726,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,009,70195726,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,009,70195726,YI310852G5561,LAREDO A,225,TRAMA IRREGULAR PEDACO TERCERIZADO,1,1,20/01/2026
05,0542116,009,70195726,YI310852G5561,LAREDO A,341,TRAMA REPUXADA,2,1,20/01/2026
05,0542116,009,70195726,YI310852G5561,LAREDO A,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542116,009,70195726,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,009,70195726,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,009,70195726,YI310852G5561,LAREDO A,382,TRAMA CURTA,4,1,20/01/2026
05,0542116,009,70195726,YI310852G5561,LAREDO A,340,TRAMA MOLE,4,1,20/01/2026
05,0542116,010,70195727,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,010,70195727,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,010,70195727,YI310852G5561,LAREDO A,225,TRAMA IRREGULAR PEDACO TERCERIZADO,2,1,20/01/2026
05,0542116,010,70195727,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,010,70195727,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,010,70195727,YI310852G5561,LAREDO A,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542116,010,70195727,YI310852G5561,LAREDO A,313,FIO QUEBRADO,4,1,20/01/2026
05,0542116,010,70195727,YI310852G5561,LAREDO A,205,FIO IRREGULAR,2,1,20/01/2026
05,0542116,011,70195728,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,011,70195728,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,011,70195728,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,011,70195728,YI310852G5561,LAREDO A,354,TRAMA FLOJA LARGA,4,1,20/01/2026
05,0542116,011,70195728,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,011,70195728,YI310852G5561,LAREDO A,313,FIO QUEBRADO,4,1,20/01/2026
05,0542116,011,70195728,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,011,70195728,YI310852G5561,LAREDO A,387,TRAMA DOBRADA,4,1,20/01/2026
05,0542116,011,70195728,YI310852G5561,LAREDO A,382,TRAMA CURTA,4,1,20/01/2026
05,0542116,012,70195729,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,012,70195729,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,012,70195729,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,012,70195729,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,012,70195729,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,012,70195729,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,013,70195730,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,013,70195730,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
FILIAL,PARTIDA,PECA,ETIQUETA,ARTIGO,NM_MERC,COD_DEF,DESC_DEFEITO,PONTOS,QUALIDADE,DATA_PROD
05,0542116,013,70195730,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,013,70195730,YI310852G5561,LAREDO A,354,TRAMA FLOJA LARGA,4,1,20/01/2026
05,0542116,013,70195730,YI310852G5561,LAREDO A,340,TRAMA MOLE,2,1,20/01/2026
05,0542116,013,70195730,YI310852G5561,LAREDO A,205,FIO IRREGULAR,1,1,20/01/2026
05,0542116,013,70195730,YI310852G5561,LAREDO A,333,PARADA DE TEAR,4,1,20/01/2026
05,0542116,013,70195730,YI310852G5561,LAREDO A,101,FAIXA DE GOMA,4,1,20/01/2026
05,0542212,001,70195702,AF311006E5561,ICON IV,312,FIO MOLE TECELAGEM,4,1,20/01/2026
05,0542212,001,70195702,AF311006E5561,ICON IV,205,FIO IRREGULAR,1,1,20/01/2026
05,0542212,001,70195702,AF311006E5561,ICON IV,221,TRAMA IRREGULAR (PEDACO),2,1,20/01/2026
05,0542212,001,70195702,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,001,70195702,AF311006E5561,ICON IV,310,FIO DUPLO,4,1,20/01/2026
05,0542212,001,70195702,AF311006E5561,ICON IV,387,TRAMA DOBRADA,4,1,20/01/2026
05,0542212,001,70195702,AF311006E5561,ICON IV,333,PARADA DE TEAR,4,1,20/01/2026
05,0542212,001,70195702,AF311006E5561,ICON IV,340,TRAMA MOLE,2,1,20/01/2026
05,0542212,001,70195702,AF311006E5561,ICON IV,221,TRAMA IRREGULAR (PEDACO),2,1,20/01/2026
