MAQUINA,ARTIGO,NM_MERC,PARTIDA,METRAGEM,DT_PROD,HORA_PROD,TURNO,LARG_AL,GRAMAT,POTEN,%_ENC_URD,%_ENC_TRAMA,%_SK1,%_SK2,%_SK3,%_SK4,%_SKE,%_STT,%_SKM,APROV,COD_ART,COR_ART,OBS,REPROCESSO,SEQ TESTE
160011,,,1544115,,,:,C,"169,00","370,00","16,50","-1,20","-0,59","5,50","8,75","8,50","5,92","7,10",,"16,50",A,,,, ,01
165001,AF311006E5561,ICON IV,0544501,"792,00",04/02/2026,11:20,A,"167,50","361,00","16,50","-2,00","-0,30","4,00","7,25","7,25","6,53","6,27",,"15,40",A,AF311006E5,561,, ,01
165001,AF311006E5561,ICON IV,1544510,"85,00",05/02/2026,23:15,C,"166,00","363,00","15,50","-0,80","0,60","4,00","8,50","10,00","7,61","7,53",,"15,50",A,AF311006E5,561,,R,01
165001,AF311006E5561,ICON IV,0544510,"1.148,00",05/02/2026,20:25,B,"168,50","355,00","16,50","-1,40","-0,59","5,50","9,50","9,00","5,77","7,36",,"15,60",A,AF311006E5,561,, ,01
165001,AF311006E5561,ICON IV,0544507,"1.223,00",06/02/2026,03:41,C,"169,00","362,00","16,50","-1,40","-0,59","5,00","7,25","10,25","5,31","6,86",,"15,50",A,AF311006E5,561,, ,01
165001,AF311006E5561,ICON IV,0544504,"1.290,00",06/02/2026,03:00,C,"168,50","360,00","16,50","-1,20","-0,89","5,25","7,50","8,50","5,15","6,53",,"15,40",A,AF311006E5,561,, ,01
165001,AF311006E5561,ICON IV,0544524,"731,00",06/02/2026,02:18,C,"169,00","360,00","16,50","-1,40","-1,18","6,00","7,75","8,75","6,12","7,10",,"15,50",A,AF311006E5,561,, ,01
165001,AF311006E5561,ICON IV,0544515,"567,00",06/02/2026,01:54,C,"169,00","357,00","16,50","-0,40","-0,89","7,75","7,25","9,75","6,33","7,69",,"15,60",A,AF311006E5,561,, ,01
165001,AF311006E5561,ICON IV,0544513,"666,00",06/02/2026,01:35,C,"170,00","360,00","16,50","-0,80","-1,18","5,00","10,25","9,75","6,00","7,65",,"16,40",A,AF311006E5,561,, ,01
165001,AF311006E5561,ICON IV,0544514,"1.198,00",06/02/2026,01:13,C,"168,00","360,00","16,50","-0,80","-0,60","7,50","7,75","7,25","5,21","6,85",,"15,50",A,AF311006E5,561,, ,01
