FILIAL,LOC. FISICO,MAQUINA,NOME_MAQUINA,DATA_PRODUCAO,TURNO,LADO,ITEM,DESC ITEM,HORA INICIAL,HORA FINAL,RPM,NUM FUSOS,ALFA,LOTE PRODUC,TÍTULO,TEMPO,TORCAO P POLEG,TORCAO P METRO,PROD MT/MIN,PROD KG/HR,PROD CALCULADA,PROD INFORMADA,EFIC CALCULADA,EFIC INFORMADA,OPERADOR,T.BOB.,RPM CARD,N,S,L,T,MO,CP V+ SL+,CM V- SL-,CCp C+,CCm C-,JP (P+),JM (P-),CVP,CVM,CORT NAT,% ROB 01,% ROB 02,% ROB 03
05,003,050403,OPEN END III                  ,12/01/2026,B,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","0,00","0,0","0,0",00096,"0,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,003,050403,OPEN END III                  ,12/01/2026,A,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","0,00","0,0","0,0",00096,"0,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,003,050403,OPEN END III                  ,12/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","201,20","24,2","28,1",00096,"1,006",9500,0,41,20,16,16,9,13,11,1,6,0,0,0,116,0,0,0
05,003,050403,OPEN END III                  ,12/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","631,70","76,1","85,7",00096,"1,006",9500,0,61,15,28,33,15,30,4,6,13,0,0,0,143,0,0,0
05,003,050403,OPEN END III                  ,12/01/2026,C,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","716,00","86,3","86,4",00096,"1,006",9500,1,67,12,50,35,15,27,20,10,33,0,0,0,161,0,0,0
05,003,050403,OPEN END III                  ,13/01/2026,A,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","786,80","94,8","94,9",00096,"1,006",9500,2,45,11,50,14,11,18,7,3,13,0,0,0,125,0,0,0
05,003,050403,OPEN END III                  ,13/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","784,50","94,5","94,9",00096,"1,006",9500,0,47,12,78,32,15,20,18,9,9,2,0,0,142,0,0,0
05,003,050403,OPEN END III                  ,13/01/2026,B,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","0,00","0,0","0,0",00096,"0,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,003,050403,OPEN END III                  ,13/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","688,50","83,0","82,7",00096,"1,006",9500,0,34,13,70,21,13,51,5,3,36,0,0,0,105,0,0,0
05,003,050403,OPEN END III                  ,13/01/2026,C,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","716,50","86,3","86,8",00096,"1,006",9500,0,33,5,52,11,16,34,8,3,47,0,0,0,136,0,0,0
05,003,050403,OPEN END III                  ,14/01/2026,B,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","0,00","0,0","0,0",00096,"0,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,003,050403,OPEN END III                  ,14/01/2026,A,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","793,70","95,6","96,1",00096,"1,006",9500,1,49,14,51,36,11,23,15,4,7,1,0,0,133,0,0,0
05,003,050403,OPEN END III                  ,14/01/2026,A,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","793,00","95,6","95,5",00096,"1,006",9500,3,36,5,57,12,9,23,3,2,3,0,0,0,113,0,0,0
05,003,050403,OPEN END III                  ,14/01/2026,B,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",14:00,22:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","0,00","0,0","0,0",00096,"0,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,003,050403,OPEN END III                  ,14/01/2026,C,B,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","725,30","87,4","87,6",00096,"1,006",9500,0,29,15,42,18,9,18,6,2,46,2,0,0,121,0,0,0
05,003,050403,OPEN END III                  ,14/01/2026,C,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",22:00,06:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","698,30","84,1","83,9",00096,"1,006",9500,0,33,6,42,35,16,27,7,5,0,13,0,0,97,0,0,0
05,003,050403,OPEN END III                  ,15/01/2026,A,A,0957330,"HILO 12,5 LISO OE CARDA TECEL",06:00,14:00,90000,300,5.3,0000000105,12.5,"8,00","18,74","737,73","122,00","103,74","829,89","804,10","96,9","96,7",00096,"1,006",9500,0,35,25,45,27,15,23,5,4,19,0,0,0,127,0,0,0
