"schema","table","column","data_type","precision","is_nullable","column_default"
"audit_recovery","tb_produccion_stage","BATIDAS","text","","YES",""
"audit_recovery","tb_produccion_stage","ENCOLH ACAB","text","","YES",""
"audit_recovery","tb_produccion_stage","ESTIRAGEM REVISAO","text","","YES",""
"audit_recovery","tb_produccion_stage","TEMPO LEIT MIN","text","","YES",""
"audit_recovery","tb_produccion_stage","TOTAL MINUTOS TUR","text","","YES",""
"audit_recovery","tb_produccion_stage","TOTAL MINUTOS TUR 1","text","","YES",""
"audit_recovery","tb_produccion_stage","TOTAL MINUTOS TUR 2","text","","YES",""
"audit_recovery","tb_produccion_stage","PARADA TEC TRAMA","text","","YES",""
"audit_recovery","tb_produccion_stage","PARADA TEC URDUME","text","","YES",""
"audit_recovery","tb_produccion_stage","PARADA TEC OUTROS","text","","YES",""
"audit_recovery","tb_produccion_stage","PARADA TEC STOP","text","","YES",""
"audit_recovery","tb_produccion_stage","BASE URDUME","text","","YES",""
"audit_recovery","tb_produccion_stage","RPM LEITURA","text","","YES",""
"audit_recovery","tb_produccion_stage","RPM NOMINALTEAR","text","","YES",""
"audit_recovery","tb_produccion_stage","GRUPO TEAR","text","","YES",""
"audit_recovery","tb_produccion_stage","DESC TEAR","text","","YES",""
"audit_recovery","tb_produccion_stage","MODELO TEAR","text","","YES",""
"audit_recovery","tb_produccion_stage","MAQ INDIGO","text","","YES",""
"public","calidad","id","integer","32","NO","nextval('calidad_id_seq'::regclass)"
"public","calidad","filial","character varying","2","NO",""
"public","calidad","fecha_produccion","date","","NO",""
"public","calidad","partida","character varying","20","YES",""
"public","calidad","artigo","character varying","20","YES",""
"public","calidad","lote","character varying","20","YES",""
"public","calidad","rolada","character varying","20","YES",""
"public","calidad","revisor","character varying","100","YES",""
"public","calidad","metros_revisados","numeric","12","YES",""
"public","calidad","metros_2a","numeric","12","YES",""
"public","calidad","puntos_defecto","integer","32","YES","0"
"public","calidad","puntos_100m2","numeric","8","YES",""
"public","calidad","porcentaje_calidad","numeric","5","YES",""
"public","calidad","created_at","timestamp without time zone","","YES","CURRENT_TIMESTAMP"
"public","calidad","updated_at","timestamp without time zone","","YES","CURRENT_TIMESTAMP"
"public","import_control","id","integer","32","NO","nextval('import_control_id_seq'::regclass)"
"public","import_control","tabla_destino","character varying","100","NO",""
"public","import_control","archivo_origen","character varying","500","NO",""
"public","import_control","ultima_importacion","timestamp without time zone","","YES",""
"public","import_control","fecha_modificacion_archivo","timestamp without time zone","","YES",""
"public","import_control","registros_importados","integer","32","YES","0"
"public","import_control","hash_archivo","character varying","64","YES",""
"public","import_control","estado","character varying","20","YES","'pending'::character varying"
"public","import_control","mensaje_error","text","","YES",""
"public","import_control","created_at","timestamp without time zone","","YES","CURRENT_TIMESTAMP"
"public","import_control","updated_at","timestamp without time zone","","YES","CURRENT_TIMESTAMP"
"public","produccion","id","integer","32","NO","nextval('produccion_id_seq'::regclass)"
"public","produccion","filial","character varying","2","NO",""
"public","produccion","fecha_produccion","date","","NO",""
"public","produccion","turno","character varying","1","YES",""
"public","produccion","maquina","character varying","10","NO",""
"public","produccion","artigo","character varying","20","YES",""
"public","produccion","partida","character varying","20","YES",""
"public","produccion","metros_producidos","numeric","12","YES",""
"public","produccion","metros_2a","numeric","12","YES",""
"public","produccion","total_minutos","integer","32","YES",""
"public","produccion","minutos_producao","integer","32","YES",""
"public","produccion","minutos_parada","integer","32","YES",""
"public","produccion","eficiencia","numeric","5","YES",""
"public","produccion","velocidade_media","numeric","8","YES",""
"public","produccion","largura_tela","numeric","6","YES",""
"public","produccion","peso_rolo","numeric","8","YES",""
"public","produccion","created_at","timestamp without time zone","","YES","CURRENT_TIMESTAMP"
"public","produccion","updated_at","timestamp without time zone","","YES","CURRENT_TIMESTAMP"
"public","residuos_indigo","id","integer","32","NO","nextval('residuos_indigo_id_seq'::regclass)"
"public","residuos_indigo","filial","character varying","2","NO",""
