PARTIDA;INICIO;FIN
0475617;26/07/2023 06:00;26/07/2023 06:14
0475618;26/07/2023 06:14;26/07/2023 07:11
0475619;26/07/2023 07:11;26/07/2023 08:08
0475620;26/07/2023 08:08;26/07/2023 09:04
0475621;26/07/2023 09:04;26/07/2023 10:00
0475622;26/07/2023 10:00;26/07/2023 10:57
0475623;26/07/2023 10:57;26/07/2023 12:31
0475624;26/07/2023 12:31;26/07/2023 12:51
0475701;26/07/2023 13:40;26/07/2023 14:00
0475702;26/07/2023 14:05;26/07/2023 15:32
0475703;26/07/2023 15:32;26/07/2023 16:43
0475704;26/07/2023 16:43;26/07/2023 18:00
0475705;26/07/2023 18:00;26/07/2023 19:10
0475706;26/07/2023 19:10;26/07/2023 20:19
0475707;26/07/2023 20:19;26/07/2023 21:25
0475708;26/07/2023 21:25;26/07/2023 22:00
0475709;26/07/2023 22:32;26/07/2023 23:49
0475710;26/07/2023 23:49;27/07/2023 00:45
0475711;27/07/2023 00:45;27/07/2023 01:23
0475712;27/07/2023 02:10;27/07/2023 03:16
0475713;27/07/2023 03:16;27/07/2023 04:21
0475714;27/07/2023 04:21;27/07/2023 05:42
0475715;27/07/2023 15:18;27/07/2023 16:33
0475716;27/07/2023 16:33;27/07/2023 17:49
0475717;27/07/2023 17:49;27/07/2023 18:59
0475718;27/07/2023 18:59;27/07/2023 20:12
0475719;27/07/2023 20:12;27/07/2023 20:45
0475720;27/07/2023 20:45;27/07/2023 22:00
0475721;27/07/2023 22:00;27/07/2023 23:16
0475722;27/07/2023 23:16;28/07/2023 00:28
0475723;28/07/2023 00:28;28/07/2023 01:31
0475724;28/07/2023 01:31;28/07/2023 02:59
0475725;28/07/2023 02:59;28/07/2023 04:05
0475726;28/07/2023 04:05;28/07/2023 05:25
0475801;28/07/2023 06:23;28/07/2023 07:33
0475802;28/07/2023 07:33;28/07/2023 08:44
0475803;28/07/2023 08:44;28/07/2023 09:50
0475804;28/07/2023 09:50;28/07/2023 10:53
0475805;28/07/2023 10:53;28/07/2023 11:55
0475806;28/07/2023 11:55;28/07/2023 12:56
